z1,z2,z3,z4,z5,z6,o5,70,500,1000,1500,2000,2500,3000,4000,5000,6000,7000,7500,8000,9000,10000
1,1,2,2,0,0,1,2062.3333333333335,2129.6666666666665,2149.3333333333335,2188.0,2639.3333333333335,3082.6666666666665,3532.6666666666665,4628.0,5916.666666666667,7428.0,8924.0,9762.666666666666,10753.0,11894.666666666666,14259.0
2,0,2,1,1,0,2,1790.6666666666667,1981.0,1974.6666666666667,2002.6666666666667,2228.3333333333335,2544.0,2833.6666666666665,3426.0,4219.666666666667,5358.0,6399.0,7056.666666666667,7614.666666666667,8675.666666666666,9747.0
0,1,2,0,1,2,0,1775.6666666666667,1839.6666666666667,1860.6666666666667,1885.3333333333333,2035.0,2366.0,2691.6666666666665,3332.3333333333335,4016.3333333333335,4657.666666666667,5300.666666666667,5648.0,5981.333333333333,6696.333333333333,7754.0
0,1,0,2,2,1,2,1820.6666666666667,1980.3333333333333,1974.6666666666667,2002.3333333333333,2089.6666666666665,2392.6666666666665,2699.3333333333335,3271.0,3879.0,4507.333333333333,5523.666666666667,6036.333333333333,7150.0,9011.333333333334,10513.0
1,0,2,0,2,1,1,2061.6666666666665,2122.0,2133.6666666666665,2160.0,2178.6666666666665,2472.3333333333335,2807.6666666666665,3556.6666666666665,4355.333333333333,5177.0,5941.666666666667,6482.333333333333,6934.333333333333,8823.333333333334,10196.333333333334
0,2,2,1,0,1,2,1923.0,1989.0,1998.0,2009.6666666666667,2086.0,2345.6666666666665,2616.3333333333335,3156.6666666666665,3705.3333333333335,4308.333333333333,5088.333333333333,5458.333333333333,5874.333333333333,6668.333333333333,7712.0
1,0,0,2,1,2,2,1707.6666666666667,1981.0,1974.6666666666667,2002.6666666666667,2034.3333333333333,2323.0,2618.6666666666665,3254.0,3958.3333333333335,4743.333333333333,5594.0,6015.333333333333,6455.333333333333,7553.0,8554.0
2,2,0,0,1,1,1,2063.6666666666665,2132.3333333333335,2155.3333333333335,2246.0,2339.0,2626.3333333333335,3076.0,3961.6666666666665,4848.666666666667,6205.0,8021.0,9581.333333333334,10286.333333333334,12435.666666666666,14651.333333333334
2,1,0,1,0,2,1,2062.6666666666665,2132.0,2182.0,2270.3333333333335,2487.3333333333335,2909.3333333333335,3349.6666666666665,4292.666666666667,5195.0,6293.333333333333,7519.0,8371.666666666666,8769.666666666666,9952.333333333334,11404.0
0,0,1,1,2,2,1,2062.0,2123.6666666666665,2134.3333333333335,2163.0,2178.3333333333335,2237.3333333333335,2490.0,3034.6666666666665,3550.3333333333335,4231.333333333333,4898.0,5252.666666666667,5644.666666666667,6278.333333333333,7041.333333333333
0,0,0,0,0,0,0,1703.6666666666667,1797.6666666666667,2180.3333333333335,2821.6666666666665,3495.3333333333335,4168.0,4840.0,6156.666666666667,7739.666666666667,9289.666666666666,10837.333333333334,11625.666666666666,12368.666666666666,13907.333333333334,15485.0
0,2,1,2,1,0,1,2064.0,2131.0,2152.0,2199.6666666666665,2631.6666666666665,3106.0,3568.6666666666665,4545.333333333333,5536.333333333333,6606.0,7949.666666666667,8802.333333333334,9519.0,11022.666666666666,13501.333333333334
2,1,1,0,2,0,2,1821.3333333333333,1980.3333333333333,1977.6666666666667,2297.6666666666665,2774.3333333333335,3266.3333333333335,3734.6666666666665,4797.333333333333,5984.0,6996.0,8305.666666666666,8730.333333333334,9339.0,10722.0,11782.333333333334
2,0,1,2,0,1,0,1670.6666666666667,1784.0,1787.0,1915.0,2121.0,2424.0,2859.3333333333335,3889.0,4783.666666666667,5813.666666666667,6923.333333333333,7406.666666666667,7888.0,8972.333333333334,10118.666666666666
1,1,1,1,1,1,0,1774.6666666666667,1829.0,2107.0,2798.0,3526.0,4300.666666666667,5063.0,6723.666666666667,8313.666666666666,9968.666666666666,11619.0,12433.0,13265.666666666666,14892.666666666666,16532.666666666668
1,2,1,0,0,2,2,1923.0,1989.0,1998.0,2206.0,2520.0,3044.6666666666665,3500.0,4428.666666666667,5328.666666666667,6267.666666666667,7144.333333333333,7586.333333333333,8076.666666666667,9065.333333333334,10077.333333333334
1,2,0,1,2,0,0,1923.0,1977.6666666666667,1985.0,1986.3333333333333,2092.0,2291.3333333333335,2562.0,3112.3333333333335,3687.6666666666665,4368.0,5030.0,5322.666666666667,5619.333333333333,6322.666666666667,7221.0
2,2,2,2,2,2,0,1923.0,1977.6666666666667,2035.3333333333333,2653.3333333333335,3286.6666666666665,3932.3333333333335,4603.666666666667,5986.333333333333,7352.0,8762.333333333334,10193.0,10898.0,11587.666666666666,13005.333333333334,14448.0
